[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.616666666666667, 3.493846648893775, 187.5, 0], Array([110.0960175], dtype=float64), 0.00025022817740884604, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.6, 5.169274515861843, 187.5, 0], Array([118.16148327], dtype=float64), 1.4000870886861383e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.583333333333334, 0.37078886163153507, 187.5, 0], Array([160.59294134], dtype=float64), 3.6248264177644364e-14, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.566666666666666, 1.3703041596838998, 187.5, 0], Array([143.88009459], dtype=float64), 1.91678477828455e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.55, 1.9825863039187215, 187.5, 0], Array([162.55236897], dtype=float64), 1.2558888344219529e-14, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.7, 1.1720755315251232, 187.5, 0], Array([121.76704121], dtype=float64), 3.464437315590527e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.683333333333334, 4.099248683833303, 187.5, 0], Array([118.96271034], dtype=float64), 1.032191343392894e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.666666666666666, 3.3682589614338423, 187.5, 0], Array([112.4636606], dtype=float64), 0.00011128951436999385, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.65, 4.84424596817612, 187.5, 0], Array([124.85396233], dtype=float64), 9.977871289267632e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.633333333333333, 1.8273070839853094, 187.5, 0], Array([149.94242978], dtype=float64), 9.468304427977464e-12, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.616666666666667, 3.085658416677862, 187.5, 0], Array([124.77545725], dtype=float64), 1.030438120732525e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.6, 2.9799520245694167, 187.5, 0], Array([142.25420917], dtype=float64), 4.203932047171077e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.583333333333334, 2.7193861529418752, 187.5, 0], Array([128.06345094], dtype=float64), 2.6128431325176455e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.566666666666666, 5.599149580466459, 187.5, 0], Array([154.23605419], dtype=float64), 1.0466468189861013e-12, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.55, 5.3308593202962244, 187.5, 0], Array([143.47077828], dtype=float64), 2.337868942041543e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.7, 3.3851932189513945, 187.5, 0], Array([99.11015833], dtype=float64), 0.0069654544120081405, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.683333333333334, 3.996714685090675, 187.5, 0], Array([109.61176885], dtype=float64), 0.00029419010277172646, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.666666666666666, 3.512407838723502, 187.5, 0], Array([111.69182544], dtype=float64), 0.0001454273043194583, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.65, 4.922987528938154, 187.5, 0], Array([130.77945675], dtype=float64), 8.119263155535108e-08, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.633333333333333, 3.6041388098901805, 187.5, 0], Array([109.56498289], dtype=float64), 0.00029880558849584057, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.616666666666667, 5.145706045322903, 187.5, 0], Array([135.55828339], dtype=float64), 9.646104979121438e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.6, 6.057056010034957, 187.5, 0], Array([126.70874748], dtype=float64), 4.625418611524338e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.583333333333334, 4.202268879353505, 187.5, 0], Array([153.15165195], dtype=float64), 1.8353612709502993e-12, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.566666666666666, 4.153285152653265, 187.5, 0], Array([145.79765565], dtype=float64), 7.502016962672963e-11, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.55, 0.25533174428901867, 187.5, 0], Array([144.00640075], dtype=float64), 1.8026371052233472e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.7, 2.174139267083984, 187.5, 0], Array([107.94996315], dtype=float64), 0.0005074778380122736, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.683333333333334, 2.0923107668086858, 187.5, 0], Array([125.46606207], dtype=float64), 7.755158052074141e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.666666666666666, 0.34287213328173416, 187.5, 0], Array([128.92598224], dtype=float64), 1.8087960584728095e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.65, 6.1506304937433045, 187.5, 0], Array([110.76544071], dtype=float64), 0.000199626758072621, 76]
